complaint_id,complaint_text,category
1,Driver exceeded the speed limit today at the bus stand. Please take action.,Over Speeding
2,Driver exceeded the speed limit around 5 PM on Galle Road. Kindly look into this issue.,Over Speeding
3,Driver was speeding dangerously at 8 AM near Kandy. Very disappointed.,Over Speeding
4,Driver exceeded the speed limit around 5 PM near Pettah,Over Speeding
5,The bus was going extremely fast around 5 PM near Colombo. This is unacceptable.,Over Speeding
6,The bus was driving too fast this morning near Pettah. Kindly look into this issue.,Over Speeding
7,Driver was speeding dangerously during peak hours near Kandy. Please take action.,Over Speeding
8,Driver exceeded the speed limit in the evening. This is unacceptable.,Over Speeding
9,Bus was overspeeding on the highway last night near Colombo,Over Speeding
10,Driver was speeding dangerously in the evening near Colombo. Kindly look into this issue.,Over Speeding
11,The bus was driving too fast around 5 PM. Please take action.,Over Speeding
12,The bus was driving too fast in the evening near Pettah. Kindly look into this issue.,Over Speeding
13,Bus was overspeeding on the highway today near Colombo. Very disappointed.,Over Speeding
14,The bus was driving too fast near Pettah. Kindly look into this issue.,Over Speeding
15,The bus was going extremely fast at 8 AM near Colombo. Kindly look into this issue.,Over Speeding
16,Driver exceeded the speed limit today. Very disappointed.,Over Speeding
17,Driver exceeded the speed limit last night near Kandy. Please take action.,Over Speeding
18,The bus was going extremely fast around 5 PM,Over Speeding
19,Driver was speeding dangerously around 5 PM on Galle Road. Very disappointed.,Over Speeding
20,The bus was going extremely fast last night at the bus stand. Kindly look into this issue.,Over Speeding
21,Driver was speeding dangerously this morning near Pettah,Over Speeding
22,The bus was going extremely fast last night near Pettah,Over Speeding
23,Driver was speeding dangerously during peak hours near Colombo. Kindly look into this issue.,Over Speeding
24,The bus was going extremely fast in the evening on Galle Road. Kindly look into this issue.,Over Speeding
25,Bus was overspeeding on the highway around 5 PM at the bus stand. Very disappointed.,Over Speeding
26,Bus was overspeeding on the highway last night at the bus stand. Please take action.,Over Speeding
27,Bus was overspeeding on the highway this morning at the bus stand,Over Speeding
28,The bus was going extremely fast around 5 PM at the bus stand. This is unacceptable.,Over Speeding
29,Bus was overspeeding on the highway during peak hours near Kandy. This is unacceptable.,Over Speeding
30,Bus was overspeeding on the highway today near Pettah. This is unacceptable.,Over Speeding
31,Bus was overspeeding on the highway this morning near Pettah,Over Speeding
32,Driver exceeded the speed limit around 5 PM at the bus stand,Over Speeding
33,Driver was speeding dangerously during peak hours near Colombo. Please take action.,Over Speeding
34,The bus was driving too fast during peak hours on Galle Road. Please take action.,Over Speeding
35,Bus was overspeeding on the highway during peak hours near Pettah. Please take action.,Over Speeding
36,Driver was speeding dangerously this morning on Galle Road,Over Speeding
37,The bus was driving too fast during peak hours. Very disappointed.,Over Speeding
38,The bus was going extremely fast around 5 PM on Galle Road. Very disappointed.,Over Speeding
39,The bus was going extremely fast at 8 AM near Pettah. Kindly look into this issue.,Over Speeding
40,Bus was overspeeding on the highway near Colombo,Over Speeding
41,The bus was driving too fast at 8 AM on Galle Road. Kindly look into this issue.,Over Speeding
42,Driver was speeding dangerously last night near Kandy. Please take action.,Over Speeding
43,Driver was speeding dangerously in the evening near Kandy. Kindly look into this issue.,Over Speeding
44,Driver exceeded the speed limit at 8 AM. Kindly look into this issue.,Over Speeding
45,Driver was speeding dangerously today at the bus stand. This is unacceptable.,Over Speeding
46,Driver exceeded the speed limit around 5 PM near Pettah,Over Speeding
47,The bus was driving too fast last night near Colombo. Please take action.,Over Speeding
48,Driver exceeded the speed limit last night on Galle Road,Over Speeding
49,Driver was speeding dangerously at 8 AM near Kandy. This is unacceptable.,Over Speeding
50,The bus was going extremely fast today near Kandy. Very disappointed.,Over Speeding
51,Bus was overspeeding on the highway last night near Pettah. Kindly look into this issue.,Over Speeding
52,Bus was overspeeding on the highway near Pettah. Very disappointed.,Over Speeding
53,The bus was driving too fast last night near Pettah,Over Speeding
54,The bus was driving too fast at 8 AM at the bus stand. Kindly look into this issue.,Over Speeding
55,The bus was going extremely fast around 5 PM on Galle Road,Over Speeding
56,The bus was going extremely fast at 8 AM near Kandy,Over Speeding
57,The bus was going extremely fast around 5 PM on Galle Road. Kindly look into this issue.,Over Speeding
58,Bus was overspeeding on the highway around 5 PM at the bus stand. This is unacceptable.,Over Speeding
59,Bus was overspeeding on the highway today near Colombo. Kindly look into this issue.,Over Speeding
60,Driver was speeding dangerously around 5 PM on Galle Road. This is unacceptable.,Over Speeding
61,Driver exceeded the speed limit today near Pettah. This is unacceptable.,Over Speeding
62,Driver exceeded the speed limit near Colombo. Very disappointed.,Over Speeding
63,The bus was driving too fast last night on Galle Road. Very disappointed.,Over Speeding
64,The bus was driving too fast near Pettah. Kindly look into this issue.,Over Speeding
65,The bus was driving too fast today. This is unacceptable.,Over Speeding
66,The bus was going extremely fast this morning. Very disappointed.,Over Speeding
67,The bus was going extremely fast near Pettah. This is unacceptable.,Over Speeding
68,Driver was speeding dangerously around 5 PM near Pettah,Over Speeding
69,Driver exceeded the speed limit today on Galle Road. This is unacceptable.,Over Speeding
70,The bus was driving too fast at 8 AM near Kandy. Please take action.,Over Speeding
71,The bus was going extremely fast this morning near Pettah. Please take action.,Over Speeding
72,The bus was driving too fast on Galle Road,Over Speeding
73,The bus was driving too fast near Colombo. This is unacceptable.,Over Speeding
74,Driver exceeded the speed limit near Kandy. Please take action.,Over Speeding
75,Driver was speeding dangerously last night near Colombo. Please take action.,Over Speeding
76,The bus was driving too fast last night on Galle Road. Kindly look into this issue.,Over Speeding
77,The bus was going extremely fast last night at the bus stand. Please take action.,Over Speeding
78,Driver exceeded the speed limit at 8 AM near Colombo,Over Speeding
79,The bus was driving too fast. Please take action.,Over Speeding
80,The bus was driving too fast during peak hours on Galle Road. Please take action.,Over Speeding
81,The bus was driving too fast today,Over Speeding
82,Driver exceeded the speed limit this morning near Colombo. Kindly look into this issue.,Over Speeding
83,The bus was driving too fast at 8 AM near Kandy. Please take action.,Over Speeding
84,Driver exceeded the speed limit near Colombo,Over Speeding
85,The bus was driving too fast today near Pettah. Kindly look into this issue.,Over Speeding
86,The bus was driving too fast today at the bus stand. Very disappointed.,Over Speeding
87,Bus was overspeeding on the highway during peak hours on Galle Road. Kindly look into this issue.,Over Speeding
88,Driver exceeded the speed limit this morning. Please take action.,Over Speeding
89,Driver was speeding dangerously at 8 AM,Over Speeding
90,Driver was speeding dangerously at the bus stand. Very disappointed.,Over Speeding
91,Driver was speeding dangerously in the evening near Pettah. Very disappointed.,Over Speeding
92,The bus was driving too fast during peak hours near Colombo. Very disappointed.,Over Speeding
93,Bus was overspeeding on the highway on Galle Road. Please take action.,Over Speeding
94,Driver was speeding dangerously in the evening near Kandy. Kindly look into this issue.,Over Speeding
95,The bus was going extremely fast last night on Galle Road. Please take action.,Over Speeding
96,Driver exceeded the speed limit at 8 AM near Kandy. Kindly look into this issue.,Over Speeding
97,The bus was going extremely fast at the bus stand. Very disappointed.,Over Speeding
98,The bus was driving too fast during peak hours on Galle Road. Please take action.,Over Speeding
99,Bus was overspeeding on the highway in the evening. Please take action.,Over Speeding
100,The bus was driving too fast this morning near Kandy. Very disappointed.,Over Speeding
101,The bus was driving too fast during peak hours near Pettah. Kindly look into this issue.,Over Speeding
102,The bus was driving too fast in the evening near Colombo. Kindly look into this issue.,Over Speeding
103,The bus was driving too fast this morning. Kindly look into this issue.,Over Speeding
104,Bus was overspeeding on the highway during peak hours near Kandy. Kindly look into this issue.,Over Speeding
105,Driver exceeded the speed limit near Kandy. This is unacceptable.,Over Speeding
106,Driver was speeding dangerously during peak hours near Kandy. Very disappointed.,Over Speeding
107,Driver exceeded the speed limit during peak hours at the bus stand. Please take action.,Over Speeding
108,The bus was driving too fast during peak hours at the bus stand. Kindly look into this issue.,Over Speeding
109,Driver exceeded the speed limit this morning near Colombo. Kindly look into this issue.,Over Speeding
110,Bus was overspeeding on the highway this morning near Kandy,Over Speeding
111,Bus was overspeeding on the highway near Kandy,Over Speeding
112,Driver was speeding dangerously last night. Kindly look into this issue.,Over Speeding
113,The bus was driving too fast on Galle Road,Over Speeding
114,Bus was overspeeding on the highway today on Galle Road. This is unacceptable.,Over Speeding
115,The bus was going extremely fast last night at the bus stand. Kindly look into this issue.,Over Speeding
116,Driver was speeding dangerously around 5 PM near Kandy,Over Speeding
117,Driver was speeding dangerously at 8 AM. Kindly look into this issue.,Over Speeding
118,The bus was driving too fast around 5 PM. Please take action.,Over Speeding
119,Driver was speeding dangerously today on Galle Road. This is unacceptable.,Over Speeding
120,Driver exceeded the speed limit last night. Kindly look into this issue.,Over Speeding
121,Driver was speeding dangerously during peak hours near Colombo. This is unacceptable.,Over Speeding
122,The bus was going extremely fast in the evening near Kandy,Over Speeding
123,Driver was speeding dangerously around 5 PM at the bus stand. Please take action.,Over Speeding
124,The bus was driving too fast in the evening near Kandy. This is unacceptable.,Over Speeding
125,Driver was speeding dangerously near Colombo. Very disappointed.,Over Speeding
126,The bus was going extremely fast during peak hours near Pettah. Kindly look into this issue.,Over Speeding
127,Bus was overspeeding on the highway at 8 AM at the bus stand. This is unacceptable.,Over Speeding
128,Driver exceeded the speed limit around 5 PM at the bus stand. Kindly look into this issue.,Over Speeding
129,Driver exceeded the speed limit in the evening at the bus stand,Over Speeding
130,The bus was going extremely fast last night on Galle Road. Kindly look into this issue.,Over Speeding
131,Driver was speeding dangerously at 8 AM near Pettah. Please take action.,Over Speeding
132,The bus was driving too fast during peak hours at the bus stand. Please take action.,Over Speeding
133,Driver was speeding dangerously during peak hours near Kandy. Very disappointed.,Over Speeding
134,Driver exceeded the speed limit this morning. Very disappointed.,Over Speeding
135,The bus was going extremely fast last night on Galle Road. Very disappointed.,Over Speeding
136,Bus was overspeeding on the highway around 5 PM near Kandy. This is unacceptable.,Over Speeding
